273.16 0.000612 
280 0.000992 
290 0.001920 
300 0.003537 
310 0.006231 
320 0.010546 
330 0.017213 
340 0.027188 
350 0.041682 
360 0.062194 
370 0.090535 
380 0.12885 
390 0.17964 
400 0.24577 
410 0.33045 
420 0.43730
430 0.57026 
440 0.73367 
450 0.9322 
460 1.1709 
470 1.4551 
480 1.7905 
490 2.1831 
500 2.6392 
510 3.1655 
520 3.7690 
530 4.4569 
540 5.2369 
550 6.1172 
560 7.1062 
570 8.2132 
580 9.448 
590 10.821 
600 12.345 
610 14.033 
620 15.901 
630 17.969 
640 20.265 
647.1 22.064 
