95.0	760	0.030	0.174				
90.0	760	0.068	0.342				
85.0	760	0.129	0.498				
80.0	760	0.237	0.620				
76.0	760	0.365	0.710				
74.0	760	0.445	0.754				
72.0	760	0.540	0.802				
70.0	760	0.647	0.852				
68.0	760	0.769	0.905				
66.0	760	0.900	0.960				
